WeekOfMonth,WeekOfMonthClaimed,Age,FraudFound_P,PolicyNumber,RepNumber,Deductible,DriverRating,Year,Month,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,Sex,MaritalStatus,Fault,PolicyType,VehicleCategory,VehiclePrice,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,BasePolicy
3,3,31,0,24,5,400,3,1994,6,5,13,1,1,5,1,0,1,2,1,2,4,3,0,5,4,1,0,1,2,0,0,2
3,3,45,0,25,12,400,3,1994,8,4,9,1,4,8,1,1,0,1,0,5,4,3,3,7,5,0,0,1,0,0,0,0
3,1,60,0,26,16,400,4,1994,2,0,13,1,1,3,1,1,0,2,1,1,4,3,3,7,7,1,0,1,0,0,0,2
3,4,21,0,27,1,400,2,1994,2,3,6,1,3,5,1,1,0,0,0,2,4,3,3,4,3,1,0,1,3,0,0,1
3,4,42,0,28,1,400,3,1994,4,6,0,1,4,4,1,1,0,1,0,2,4,3,2,6,5,1,0,1,1,0,0,0
1,4,0,1,29,9,400,1,1994,5,5,6,1,1,8,1,0,0,1,0,5,4,3,0,0,0,1,0,1,0,0,0,0
3,4,39,0,30,12,400,3,1994,4,0,9,1,2,4,0,1,0,0,0,1,4,3,0,6,5,1,0,1,0,0,0,1
2,2,47,0,31,2,400,1,1994,2,4,3,1,5,2,1,1,0,0,0,2,4,3,2,7,6,1,0,0,0,0,0,1
1,2,0,0,32,6,400,1,1994,2,6,6,1,1,2,1,0,0,0,0,5,4,3,1,0,0,1,0,1,0,0,0,1
2,2,42,0,33,2,400,3,1994,2,2,2,1,2,2,1,0,0,0,0,1,4,3,3,6,5,1,0,1,2,0,0,1
4,4,30,0,34,2,400,4,1994,0,0,6,1,1,0,1,0,1,0,0,1,4,3,0,5,4,1,0,1,1,0,0,1
4,4,42,0,35,12,400,1,1994,0,1,5,1,2,0,1,1,0,6,2,5,4,3,2,6,5,1,0,1,0,0,0,0
2,2,34,0,36,5,400,3,1994,9,2,2,1,3,9,1,0,1,2,1,1,4,3,2,6,4,1,0,1,3,0,0,2
2,3,30,0,37,11,400,4,1994,9,1,6,1,3,9,1,1,1,0,0,1,4,3,0,5,4,1,0,1,3,0,0,1
2,3,27,0,38,4,400,2,1994,8,4,9,1,4,8,1,0,0,0,0,2,4,3,0,6,4,1,0,1,3,0,0,1
4,4,55,0,39,12,400,1,1994,10,1,6,1,3,10,1,1,0,4,1,5,4,3,0,7,6,1,0,1,0,0,0,1
4,1,35,0,40,1,400,3,1994,10,3,17,1,1,0,1,1,0,0,0,1,4,3,0,6,4,1,0,1,1,0,0,1
4,1,35,0,41,11,400,1,1994,2,2,2,1,2,3,0,1,0,0,0,1,4,3,2,5,4,1,0,1,3,0,0,1
3,4,44,0,42,15,400,1,1994,2,4,13,1,2,2,1,1,0,1,0,1,4,3,2,6,5,1,0,1,2,0,2,0
1,1,42,0,43,12,400,4,1994,5,0,17,1,0,6,0,0,0,2,1,1,4,3,0,3,5,1,0,1,0,3,1,2
3,4,41,0,44,5,400,2,1994,0,1,6,1,0,0,1,1,0,0,0,1,4,3,2,6,5,1,0,1,1,0,0,1
3,4,72,0,45,16,400,1,1994,0,2,17,1,2,0,1,1,1,0,0,1,4,3,0,7,8,1,0,1,0,0,0,1
2,2,29,0,46,8,400,3,1994,1,2,13,1,3,1,0,1,1,1,0,0,4,3,2,4,4,1,0,1,0,0,0,0
2,3,32,0,47,9,400,4,1994,1,3,13,1,0,1,1,0,1,0,0,2,4,3,0,5,4,1,0,0,0,0,0,1
4,4,37,0,48,13,400,3,1994,10,3,9,1,4,10,1,1,0,2,1,2,4,3,2,4,5,1,0,1,3,0,0,2
3,1,37,0,49,10,400,1,1994,3,3,2,1,3,4,0,1,0,2,1,5,4,3,2,5,5,1,0,1,2,0,0,2
3,3,59,0,50,9,400,4,1994,3,4,13,1,1,3,1,1,0,0,0,1,4,3,3,7,7,1,0,1,2,0,0,1
4,4,49,0,51,14,400,2,1994,4,4,13,1,4,4,1,1,0,2,1,2,4,3,3,7,6,1,0,1,0,0,0,2
4,4,27,0,52,4,500,3,1994,6,2,13,1,4,5,1,1,0,2,1,1,4,3,2,5,4,1,0,1,2,2,0,2
3,4,21,1,53,4,400,4,1994,5,6,6,0,2,0,1,1,0,4,1,5,4,3,0,3,3,1,0,1,2,0,0,1
4,2,50,1,54,13,400,1,1994,5,5,6,1,2,7,1,1,0,0,0,1,4,3,0,7,6,1,0,1,2,0,0,1
4,4,45,0,55,8,400,1,1994,6,1,13,1,1,5,1,0,0,0,0,2,4,3,1,6,5,1,0,1,1,0,0,1
3,3,49,0,56,7,400,4,1994,11,0,9,1,2,11,1,1,1,1,0,1,4,3,0,7,6,1,0,1,2,0,0,0
4,5,30,0,57,5,400,4,1994,6,4,6,1,3,5,1,0,0,1,0,1,4,3,2,5,4,1,0,1,0,0,0,0
2,2,37,0,58,11,400,3,1994,10,4,0,1,0,10,1,0,0,0,0,5,4,3,2,6,5,1,0,1,0,0,0,1
1,4,0,0,59,15,400,4,1994,4,0,6,0,2,4,1,0,0,2,1,5,4,3,0,0,0,1,0,1,0,0,0,2
1,2,27,0,60,4,400,4,1994,4,2,2,1,0,4,0,0,0,0,0,1,4,3,0,5,4,1,0,1,1,0,0,1
1,3,30,0,61,5,400,4,1994,10,0,17,1,0,10,1,0,0,1,0,2,4,3,0,4,4,1,0,1,0,0,0,0
2,4,49,0,62,6,400,4,1994,8,1,13,1,4,0,1,1,0,7,2,3,4,3,0,7,6,1,0,1,0,0,0,1
4,3,0,0,63,3,400,2,1994,10,6,6,1,4,0,1,0,1,1,0,5,4,3,2,0,0,1,0,1,0,0,0,0
5,1,26,0,64,13,400,3,1994,1,0,17,1,1,2,1,1,0,2,1,1,4,3,2,6,4,1,0,1,3,3,1,2
1,2,48,0,65,1,400,1,1994,11,4,13,1,1,11,1,0,0,0,0,1,4,3,0,6,6,1,0,1,0,0,0,1
4,2,31,0,66,6,400,3,1994,11,4,9,1,0,0,1,0,0,1,0,1,4,3,0,6,4,1,0,1,0,0,0,0
3,3,40,0,67,16,400,2,1994,2,4,11,1,4,2,1,0,1,0,0,5,4,3,1,6,5,1,0,1,3,0,0,1
4,5,65,0,68,12,400,1,1994,7,3,9,1,0,7,1,1,0,2,1,2,4,3,2,7,7,1,0,1,3,0,0,2
1,1,64,0,69,5,400,1,1994,0,6,17,1,1,0,1,1,0,0,0,1,4,3,1,7,7,1,0,1,0,0,0,1
1,1,55,0,70,12,400,2,1994,0,6,6,1,2,0,1,1,0,2,1,1,4,3,2,6,6,1,0,1,3,0,0,2
1,1,44,0,71,16,400,1,1994,0,6,6,1,2,0,1,0,0,0,0,1,4,3,2,6,5,1,0,1,2,0,0,1
1,1,27,0,72,9,400,3,1994,0,1,9,1,3,0,1,1,0,0,0,1,4,3,1,5,4,1,0,1,1,0,0,1
4,5,28,0,73,5,400,3,1994,8,3,2,1,0,0,0,0,1,0,0,1,3,3,1,4,4,1,0,1,0,0,0,1
1,1,47,0,74,7,400,2,1994,0,0,6,1,1,0,1,1,1,0,0,1,4,3,1,7,6,1,0,1,3,0,0,1
5,1,60,0,75,12,400,3,1994,3,5,9,1,1,4,1,1,1,0,0,5,4,3,3,6,7,1,0,1,3,0,0,1
1,4,33,0,76,9,400,4,1994,7,5,5,1,2,7,1,1,1,0,0,2,4,3,3,5,4,1,0,1,0,0,0,1
4,1,27,0,77,1,400,3,1994,9,1,2,1,0,0,1,1,1,1,0,1,4,3,0,5,4,1,0,1,0,0,0,0
2,3,47,0,78,12,400,3,1994,1,4,6,1,1,1,0,1,1,4,1,5,4,3,0,7,6,1,0,1,0,0,0,1
2,3,29,0,79,16,400,1,1994,1,4,7,0,1,1,0,0,0,2,1,2,4,3,2,4,4,1,0,1,2,0,0,2
4,1,33,0,80,10,400,1,1994,1,5,17,1,4,2,0,1,1,0,0,2,4,3,2,6,4,1,0,1,3,0,0,1
3,3,38,0,81,13,400,4,1994,0,2,13,1,2,0,1,1,0,2,1,1,4,3,2,5,5,1,0,1,0,0,0,2
3,4,37,0,82,6,400,2,1994,0,3,9,1,4,0,1,0,1,2,1,1,4,3,1,6,5,1,0,1,0,0,0,2
2,3,36,0,83,13,400,4,1994,11,4,2,1,3,3,1,1,1,1,0,5,4,3,0,6,5,1,0,1,0,0,2,0
5,1,44,0,84,9,400,4,1994,10,1,17,1,4,1,0,1,0,2,1,1,4,3,0,5,5,1,0,1,1,0,0,2
1,1,0,0,85,6,400,2,1994,11,2,6,1,0,0,1,0,0,2,1,5,4,3,3,0,0,1,0,1,0,3,1,2
2,1,27,0,86,4,400,4,1994,11,1,2,0,1,2,1,1,0,8,2,5,4,3,1,5,4,1,0,1,3,0,0,2
4,4,27,0,87,14,400,3,1994,4,1,17,1,2,4,1,0,0,0,0,1,4,3,1,5,4,1,0,1,3,0,0,1
4,4,39,0,88,1,400,2,1994,4,6,9,1,2,4,1,0,1,1,0,1,4,3,2,3,5,1,0,1,3,0,0,0
5,5,74,0,89,13,400,4,1994,9,5,13,1,0,9,1,1,1,1,0,2,4,3,0,6,8,1,0,1,2,0,0,0
4,4,23,0,90,8,400,2,1994,9,6,6,1,0,9,1,0,0,2,1,1,4,3,2,3,3,1,0,1,0,0,0,2
4,4,25,0,91,2,400,1,1994,9,6,6,1,1,9,0,0,1,4,1,5,4,3,0,5,3,1,0,1,3,0,0,1
2,2,38,0,92,13,400,2,1994,0,2,13,1,2,0,1,0,0,2,1,1,4,3,3,6,5,1,0,1,2,1,0,2
2,4,41,0,93,16,400,1,1994,0,3,6,1,0,0,1,1,0,1,0,2,4,3,2,6,5,1,0,1,0,0,0,0
4,5,38,0,94,13,700,3,1994,7,5,13,1,0,7,1,1,0,0,0,1,4,3,2,6,5,1,0,1,3,0,0,1
2,3,34,1,95,7,400,3,1994,10,3,6,1,4,0,1,0,0,4,1,5,4,3,0,6,4,1,0,1,2,0,0,1
2,2,61,0,96,15,400,4,1994,4,1,6,1,3,4,1,1,1,0,0,2,4,3,0,7,7,1,0,1,3,0,0,1
2,1,38,1,97,7,400,2,1994,10,4,17,1,1,0,1,1,0,0,0,1,4,3,1,6,5,1,0,1,0,0,0,1
3,4,40,0,98,4,400,4,1994,0,3,17,1,0,0,1,0,0,1,0,0,4,3,1,6,5,1,0,1,0,0,0,0
3,4,41,0,99,12,400,4,1994,10,0,13,1,2,0,1,1,1,1,0,1,4,3,2,6,5,1,0,1,0,0,0,0
4,5,36,0,100,10,400,1,1994,0,4,13,1,0,0,1,1,0,1,0,1,4,3,1,6,5,1,0,1,0,0,0,0
3,2,31,1,101,2,400,1,1994,10,1,2,1,2,0,1,1,0,6,2,5,4,3,3,6,4,1,0,1,3,0,0,0
5,5,35,0,102,10,400,4,1994,0,5,13,1,0,0,0,1,1,1,0,1,4,3,1,5,4,1,0,1,0,0,0,0
4,1,37,0,103,14,500,2,1994,0,4,5,1,0,1,0,1,0,1,0,5,4,3,2,5,5,0,0,1,2,0,0,0
1,2,55,0,104,14,400,3,1994,0,3,9,1,1,0,1,1,0,1,0,1,4,3,0,7,6,1,0,1,3,0,0,0
1,1,31,0,105,12,400,4,1994,0,1,13,1,3,0,1,0,1,1,0,1,4,3,2,6,4,1,0,1,1,0,0,0
3,3,28,0,106,5,400,1,1994,11,4,3,1,5,11,1,1,0,2,1,5,4,3,0,6,4,1,0,1,1,3,1,2
1,1,28,0,107,11,400,2,1994,7,0,9,1,3,7,1,1,0,0,0,1,4,3,2,6,4,1,0,1,0,0,0,1
4,2,44,0,108,11,400,1,1994,10,6,13,1,3,3,1,1,1,1,0,1,4,3,0,6,5,1,0,1,0,0,0,0
1,4,47,0,109,1,400,1,1994,6,3,2,1,3,9,1,1,0,1,0,1,4,3,1,7,6,1,0,1,0,0,0,0
1,1,40,0,110,16,400,4,1994,2,3,6,1,4,2,1,1,0,2,1,1,4,3,0,5,5,1,0,1,0,0,0,2
2,1,23,0,111,4,400,2,1994,4,1,17,1,4,8,1,0,0,0,0,1,4,3,2,4,3,1,0,1,0,0,0,1
2,2,31,0,112,6,400,3,1994,4,0,13,1,3,4,1,0,0,1,0,1,4,3,2,5,4,1,0,1,0,0,0,0
4,5,35,0,113,9,400,1,1994,10,3,6,1,3,11,1,1,1,1,0,1,4,3,0,5,4,1,0,1,0,0,0,0
4,2,56,1,114,10,400,2,1994,10,3,0,0,1,0,1,1,0,6,2,5,4,3,0,7,7,1,0,1,0,0,0,0
4,1,50,0,115,2,400,3,1994,11,0,2,1,2,0,1,1,1,0,0,1,4,3,1,7,6,1,0,1,3,0,0,1
2,2,16,0,116,2,400,1,1994,11,1,6,1,2,0,1,0,1,4,1,5,4,3,2,3,1,1,0,1,2,0,0,1
5,5,32,0,117,12,400,2,1994,10,1,13,1,1,10,1,1,1,0,0,2,4,3,1,6,4,1,1,1,3,0,0,1
2,5,28,0,118,4,400,3,1994,7,0,13,1,1,7,1,0,0,2,1,1,4,3,2,5,4,1,0,1,2,0,0,2
5,1,68,1,119,9,400,3,1994,10,0,9,1,2,11,1,0,0,1,0,1,4,3,2,4,8,1,0,1,0,0,0,0
1,3,0,1,120,7,400,3,1994,11,4,6,0,4,11,1,0,0,1,0,5,4,3,0,0,0,1,0,1,0,0,0,0
1,3,0,0,121,8,400,3,1994,1,4,6,0,4,2,1,0,0,1,0,5,4,3,0,0,0,1,0,1,0,0,0,0
2,3,18,0,122,12,400,4,1994,9,2,6,0,0,9,0,1,1,4,1,5,4,3,0,1,2,1,0,1,1,0,0,1
3,3,30,0,123,2,400,1,1994,6,0,13,1,0,5,1,0,0,0,0,5,4,3,3,5,4,1,0,1,1,0,0,1
4,4,51,0,124,1,400,4,1994,3,1,6,1,1,3,1,1,0,0,0,1,4,3,3,7,6,1,0,1,0,0,2,1
2,2,22,0,125,6,400,3,1994,1,6,17,1,0,1,1,0,1,1,0,2,4,3,0,5,3,1,0,1,2,0,0,0
2,2,26,0,126,16,400,4,1994,1,5,13,1,0,1,0,1,0,2,1,1,4,3,2,6,4,1,0,1,3,0,0,2
4,1,53,0,127,15,400,2,1994,0,5,3,1,0,2,1,1,0,0,0,2,4,3,0,7,6,0,0,1,0,3,1,1
4,5,38,0,128,13,400,3,1994,0,6,9,1,1,0,1,1,0,2,1,2,4,3,2,6,5,1,0,1,3,0,0,2
4,4,27,0,129,9,400,3,1994,0,6,2,0,0,0,1,1,1,2,1,2,4,3,3,5,4,1,1,1,0,0,0,2
4,4,29,0,130,14,400,3,1994,10,0,6,1,1,10,1,0,0,0,0,1,4,3,2,6,4,1,0,1,2,0,0,1
2,2,32,0,131,10,400,1,1994,5,4,13,1,4,6,1,0,0,0,0,1,4,3,3,4,4,1,0,1,3,0,0,1
4,4,18,0,132,14,400,3,1994,3,3,6,1,4,3,1,0,1,0,0,1,4,3,0,2,2,1,0,1,3,0,0,1
3,4,60,0,133,6,400,4,1994,9,3,13,1,3,9,1,1,1,0,0,1,4,3,2,7,7,1,0,1,1,0,0,1
3,3,53,0,134,12,400,3,1994,9,4,5,1,4,9,1,1,0,0,0,5,4,3,0,7,6,1,0,1,3,0,0,1
1,2,29,0,135,16,400,4,1994,3,1,6,1,4,3,1,0,0,0,0,1,4,3,1,5,4,1,0,1,1,0,0,1
2,2,29,0,136,6,400,2,1994,2,6,13,1,0,2,1,1,0,0,0,1,4,3,1,6,4,1,0,1,3,0,0,1
2,4,41,0,137,9,400,4,1994,2,0,17,1,1,2,1,1,1,0,0,1,4,3,1,6,5,1,0,1,3,0,0,1
4,1,29,0,138,9,400,4,1994,1,0,17,1,2,2,1,1,0,1,0,1,4,3,0,6,4,1,0,1,3,0,0,0
4,1,42,0,139,2,400,2,1994,11,2,11,1,3,0,1,1,0,1,0,1,4,3,3,6,5,1,0,1,0,0,0,0
5,1,34,0,140,9,400,2,1994,9,4,17,1,4,1,1,1,0,1,0,0,4,3,0,6,4,1,0,1,1,0,0,0
3,3,51,0,141,11,400,4,1994,5,0,6,1,1,6,1,1,0,4,1,5,4,3,1,7,6,1,0,1,2,0,0,1
4,1,32,0,142,3,400,4,1994,6,0,13,1,1,6,1,1,0,1,0,1,4,3,1,5,4,1,0,1,2,0,0,0
5,1,52,0,143,10,400,4,1994,1,0,2,1,4,2,1,1,0,2,1,1,4,3,0,7,6,1,0,0,2,0,3,2
3,3,61,0,144,8,400,2,1994,1,3,17,1,4,1,1,1,0,0,0,1,4,3,2,7,7,1,0,1,0,0,0,1
3,4,25,0,145,1,400,4,1994,1,2,17,0,4,1,1,0,1,2,1,1,4,3,2,4,3,1,0,1,2,0,0,2
1,1,41,0,146,6,400,1,1994,10,3,9,1,4,10,1,1,0,1,0,2,4,3,0,6,5,1,0,1,0,0,0,0
3,3,33,0,147,10,400,1,1994,8,5,9,1,1,8,1,0,1,2,1,2,4,3,0,5,4,1,0,1,0,0,0,2
1,3,39,1,148,1,400,3,1994,11,0,17,0,1,4,1,1,0,1,0,2,4,3,0,7,5,1,0,1,3,4,1,0
1,2,30,0,149,13,400,1,1994,6,1,0,1,3,5,1,0,0,0,0,2,4,3,0,5,4,1,0,1,0,0,0,1
4,4,50,0,150,15,400,4,1994,4,0,9,1,0,4,1,3,0,0,0,1,4,3,0,7,6,1,0,1,0,0,0,1
2,2,31,0,151,8,400,1,1994,0,0,13,1,4,0,0,1,1,0,0,1,4,3,2,6,4,1,0,1,3,0,0,1
2,2,23,0,152,8,400,4,1994,0,1,13,1,1,0,1,0,0,2,1,2,4,3,3,4,3,1,0,1,2,0,0,2
2,2,31,0,153,10,400,3,1994,0,1,13,1,4,0,1,0,1,2,1,2,4,3,1,6,4,1,0,1,1,0,0,2
4,1,50,0,154,2,500,3,1994,8,1,6,1,0,9,1,1,1,1,0,1,4,3,2,6,6,1,0,1,3,2,0,0
5,5,33,0,155,8,400,3,1994,0,5,6,1,0,0,0,0,1,2,1,1,4,3,2,5,4,1,0,1,0,0,0,2
5,1,30,0,156,6,400,2,1994,0,6,0,1,1,1,1,1,0,2,1,2,4,3,3,5,4,1,0,1,2,0,0,2
5,1,44,0,157,13,400,1,1994,0,0,9,1,3,1,1,1,0,0,0,3,4,3,3,7,5,1,0,1,0,0,0,1
4,4,46,0,158,13,400,2,1994,0,2,2,1,1,1,1,1,0,1,0,5,4,3,1,6,6,1,0,1,3,0,0,0
5,1,31,0,159,11,400,4,1994,0,5,6,1,2,1,1,0,0,2,1,1,4,3,2,5,4,1,0,1,2,0,0,2
5,5,48,0,160,5,400,3,1994,0,4,6,1,4,0,1,1,0,2,1,1,4,3,2,7,6,1,0,1,0,0,0,2
2,2,33,1,161,12,400,3,1994,11,4,2,1,4,0,1,1,0,1,0,5,4,3,0,5,4,1,0,1,0,0,0,0
4,4,0,0,162,3,400,1,1994,0,1,6,1,2,0,1,0,0,2,1,5,4,3,2,0,0,1,0,1,0,0,0,2
4,4,37,0,163,5,400,3,1994,0,4,2,1,2,0,0,0,1,2,1,5,4,3,1,6,5,1,0,1,1,0,0,2
4,4,43,0,164,3,400,3,1994,0,4,17,1,3,0,1,1,1,1,0,0,4,3,0,6,5,1,0,1,0,0,0,0
2,4,32,0,165,14,400,1,1994,0,2,17,1,0,0,0,1,1,0,0,2,4,3,3,3,4,1,0,1,1,0,2,1
2,2,57,0,166,4,400,1,1994,0,3,17,1,3,0,1,1,0,2,1,1,4,3,2,7,7,1,0,1,2,0,0,2
3,3,65,0,167,8,400,2,1994,0,4,6,1,0,0,1,1,1,1,0,1,4,3,1,7,7,1,0,1,0,0,0,0
2,2,27,0,168,12,400,4,1994,9,5,17,1,0,9,0,0,0,0,0,1,4,3,0,5,4,1,0,1,1,0,0,1
4,2,42,0,169,6,400,4,1994,4,4,12,0,2,6,1,1,0,6,2,5,4,3,2,7,5,1,0,1,0,3,1,0
3,4,57,0,170,7,400,1,1994,4,3,6,1,0,4,1,1,0,2,1,1,4,3,2,7,7,1,0,1,3,0,0,2
4,5,32,0,171,2,400,3,1994,2,4,13,1,2,2,1,0,0,1,0,1,4,3,0,6,4,1,0,1,3,0,0,0
1,3,29,0,172,7,400,2,1994,2,5,9,1,0,2,1,0,0,2,1,1,4,3,2,6,4,1,0,1,3,0,0,2
2,4,36,0,173,2,400,4,1994,1,0,18,1,1,1,1,1,0,0,0,2,4,3,0,6,5,1,0,1,0,0,0,1
2,2,28,0,174,2,400,4,1994,1,0,17,1,0,1,1,0,0,2,1,2,4,3,2,5,4,1,0,1,1,0,0,2
1,2,32,0,175,14,400,1,1994,1,0,6,1,1,1,0,0,0,1,0,0,4,3,1,5,4,1,0,1,1,0,0,0
1,2,33,0,176,1,400,2,1994,1,6,2,1,3,1,1,0,0,1,0,1,4,3,0,5,4,1,0,1,0,0,0,0
2,2,37,0,177,1,400,2,1994,1,1,15,1,2,1,1,1,0,1,0,2,4,3,2,7,5,1,0,1,2,0,0,0
5,1,26,0,178,16,400,3,1994,0,1,6,1,2,1,0,0,0,2,1,1,4,3,3,5,4,1,0,1,3,0,0,2
3,3,53,0,179,5,400,1,1994,0,6,2,1,2,0,1,1,0,1,0,1,4,3,1,7,6,1,0,1,1,0,0,0
3,3,53,0,180,12,400,3,1994,0,5,11,0,1,0,1,1,1,1,0,1,4,3,1,7,6,1,0,1,0,0,0,0
3,3,74,0,181,8,400,4,1994,0,0,5,1,1,0,1,1,0,1,0,0,4,3,2,7,8,1,0,1,1,0,0,0
3,4,50,0,182,3,400,2,1994,6,1,13,1,3,6,1,1,0,0,0,1,4,3,1,6,6,1,0,1,0,0,0,1
2,2,27,0,183,3,400,4,1994,6,3,9,1,4,5,1,0,1,1,0,1,4,3,0,5,4,1,0,1,0,1,0,0
2,1,48,0,184,7,400,1,1994,11,6,17,1,1,1,1,1,1,1,0,1,4,3,3,7,6,1,0,1,3,0,0,0
1,1,55,0,185,2,400,2,1994,0,6,2,1,1,0,0,0,1,1,0,1,4,3,0,6,6,1,0,1,2,0,0,0
1,1,48,0,186,10,400,4,1994,0,6,13,1,2,0,1,1,0,1,0,1,4,3,0,7,6,1,0,1,3,0,0,0
1,2,0,0,187,8,400,4,1994,0,0,6,1,2,0,1,0,1,2,1,5,4,3,2,0,0,1,0,1,0,0,0,2
5,2,54,0,188,10,400,4,1994,11,3,13,1,4,0,1,1,1,2,1,1,4,3,1,6,6,1,0,1,0,0,0,2
1,1,36,0,189,14,400,1,1994,0,5,2,1,0,0,1,1,0,2,1,2,4,3,3,6,5,1,0,1,3,0,0,2
2,1,43,1,190,10,400,2,1994,11,0,9,1,0,0,1,1,0,1,0,2,4,3,2,7,5,1,0,1,0,3,1,0
5,1,41,0,191,1,400,4,1994,11,4,9,1,1,0,1,1,0,0,0,2,4,3,0,7,5,1,0,1,2,0,0,1
4,4,48,0,192,6,400,2,1994,1,1,17,1,2,1,1,1,0,1,0,1,4,3,2,7,6,1,0,1,2,0,0,0
3,2,26,1,193,14,400,2,1994,11,1,2,1,0,0,1,1,0,6,2,5,4,3,0,5,4,1,0,1,1,0,0,0
2,3,43,0,194,1,400,3,1994,1,6,17,1,0,1,0,1,0,1,0,1,4,3,0,5,5,1,0,1,0,0,0,0
3,1,39,1,195,13,400,3,1994,11,3,6,1,0,0,1,1,0,4,1,5,4,3,0,7,5,1,0,1,0,0,0,1
1,2,49,0,196,4,400,3,1994,1,4,2,1,2,1,1,1,1,0,0,2,4,3,1,7,6,1,0,1,3,0,0,1
1,3,37,0,197,14,400,3,1994,1,5,6,1,0,9,1,1,1,0,0,2,4,3,2,6,5,1,0,1,0,0,0,1
1,2,36,0,198,1,400,3,1994,7,2,9,1,3,8,1,1,1,0,0,1,4,3,2,6,5,1,0,1,3,0,0,1
1,2,52,0,199,4,400,4,1994,2,6,13,1,4,2,0,1,0,1,0,1,4,3,2,5,6,1,0,1,3,0,0,0
4,2,29,0,200,16,400,4,1994,11,5,13,1,0,0,1,1,1,1,0,0,4,3,0,5,4,1,0,1,1,0,0,0
4,1,38,0,201,10,400,4,1994,11,4,9,1,0,0,1,1,1,0,0,1,4,3,0,7,5,1,0,1,0,0,0,1
